-Usuarios requeridos-
Usuario: Ekans 
Usuario: Shellder 
Usuario: Seel 
Usuario: Tentacool 
Usuario: Vulpix 
Usuario: Drowzee 
Usuario: Weezing 
Usuario: Butterfree 
Usuario: Cubone 
Usuario: Pikachu 
Usuario: Charmander 
Usuario: Dugtrio 
Usuario: Golduck 
Usuario: Dewgong 
Usuario: Exeggutor 
Usuario: Machop 
Usuario: Krabby 
Usuario: Onix 
Usuario: Golbat 
Usuario: Clefairy 
Usuario: Paras 
Usuario: Magnemite 
Usuario: Nidorino 
Usuario: Machamp 
Usuario: Venusaur 
Usuario: Machoke 
Usuario: Marowak 
Usuario: Koffing 
Usuario: Blastoise 
Usuario: Farfetch'd 
Usuario: Poliwhirl 
Usuario: Exeggcute 
Usuario: Chansey 
Usuario: Lickitung 
Usuario: Raichu 
Usuario: Tentacruel 
Usuario: Victreebel 
Usuario: Metapod 
Usuario: Electrode 
Usuario: Bulbasaur 
Usuario: Parasect 
Usuario: Grimer 
Usuario: Geodude 
Usuario: Kadabra 
Usuario: Nidoran 
Usuario: Abra 
Usuario: Vileplume 
Usuario: Rapidash 
Usuario: Rhydon 
